record_id,age_group,postcode_group,income_range,occupation_group
1,50-65,20**,120k-140k,Technology
2,30-49,20**,60k-80k,Finance
3,50-65,20**,140k-160k,Management
4,30-49,20**,80k-100k,Technology
5,30-49,21**,80k-100k,Finance
6,18-29,20**,80k-100k,Management
7,30-49,21**,80k-100k,Finance
8,30-49,20**,80k-100k,Technology
9,30-49,20**,80k-100k,Finance
10,30-49,20**,100k-120k,Technology
11,18-29,21**,80k-100k,Education
12,30-49,22**,80k-100k,Technology
13,50-65,21**,100k-120k,Technology
14,50-65,22**,100k-120k,Finance
15,50-65,22**,80k-100k,Finance
16,18-29,20**,60k-80k,Finance
17,30-49,21**,80k-100k,Technology
18,30-49,20**,80k-100k,Education
19,30-49,22**,80k-100k,Finance
20,50-65,21**,120k-140k,Technology
21,50-65,20**,100k-120k,Finance
22,30-49,22**,100k-120k,Finance
23,30-49,20**,60k-80k,Education
24,18-29,21**,60k-80k,Education
25,18-29,21**,60k-80k,Finance
26,30-49,21**,60k-80k,Business
27,18-29,20**,60k-80k,Finance
28,50-65,21**,120k-140k,Management
29,50-65,21**,100k-120k,Business
30,30-49,20**,80k-100k,Education
31,50-65,20**,80k-100k,Business
32,18-29,22**,80k-100k,Technology
33,50-65,21**,100k-120k,Healthcare
34,30-49,21**,100k-120k,Healthcare
35,50-65,21**,80k-100k,Finance
36,50-65,22**,140k-160k,Technology
37,30-49,20**,80k-100k,Education
38,30-49,21**,100k-120k,Technology
39,50-65,21**,100k-120k,Finance
40,50-65,22**,100k-120k,Technology
41,50-65,21**,120k-140k,Management
42,18-29,20**,80k-100k,Education
43,50-65,21**,80k-100k,Technology
44,30-49,20**,80k-100k,Technology
45,30-49,20**,60k-80k,Finance
46,50-65,20**,120k-140k,Technology
47,18-29,20**,80k-100k,Management
48,50-65,21**,100k-120k,Business
49,30-49,21**,100k-120k,Management
50,30-49,22**,80k-100k,Management
51,50-65,21**,100k-120k,Finance
52,30-49,21**,100k-120k,Management
53,30-49,20**,60k-80k,Finance
54,18-29,21**,40k-60k,Business
55,50-65,20**,80k-100k,Finance
56,50-65,20**,100k-120k,Technology
57,18-29,20**,60k-80k,Education
58,30-49,22**,80k-100k,Finance
59,30-49,20**,100k-120k,Management
60,50-65,20**,100k-120k,Business
61,30-49,20**,80k-100k,Finance
62,50-65,21**,100k-120k,Healthcare
63,30-49,22**,60k-80k,Business
64,50-65,20**,120k-140k,Technology
65,50-65,20**,100k-120k,Education
66,30-49,21**,60k-80k,Finance
67,18-29,20**,60k-80k,Healthcare
68,30-49,20**,80k-100k,Finance
69,50-65,20**,120k-140k,Technology
70,18-29,20**,60k-80k,Technology
71,30-49,21**,80k-100k,Business
72,30-49,20**,80k-100k,Technology
73,18-29,20**,60k-80k,Healthcare
74,30-49,22**,80k-100k,Healthcare
75,50-65,20**,100k-120k,Business
76,30-49,20**,80k-100k,Finance
77,50-65,20**,140k-160k,Management
78,18-29,21**,60k-80k,Technology
79,50-65,20**,100k-120k,Management
80,50-65,20**,100k-120k,Technology
81,50-65,22**,120k-140k,Technology
82,30-49,21**,100k-120k,Technology
83,50-65,20**,80k-100k,Business
84,30-49,21**,80k-100k,Business
85,30-49,20**,80k-100k,Finance
86,30-49,21**,60k-80k,Finance
87,50-65,21**,100k-120k,Finance
88,18-29,21**,60k-80k,Technology
89,18-29,21**,80k-100k,Technology
90,50-65,20**,100k-120k,Finance
91,18-29,21**,60k-80k,Finance
92,18-29,21**,60k-80k,Business
93,50-65,20**,120k-140k,Management
94,30-49,20**,80k-100k,Technology
95,18-29,22**,80k-100k,Technology
96,18-29,20**,80k-100k,Finance
97,30-49,20**,60k-80k,Education
98,50-65,20**,80k-100k,Business
99,18-29,20**,60k-80k,Healthcare
100,18-29,20**,60k-80k,Education
101,18-29,21**,60k-80k,Business
102,50-65,20**,80k-100k,Technology
103,50-65,21**,120k-140k,Technology
104,30-49,21**,60k-80k,Business
105,30-49,20**,100k-120k,Technology
106,30-49,21**,80k-100k,Technology
107,50-65,22**,80k-100k,Finance
108,30-49,21**,100k-120k,Management
109,30-49,20**,100k-120k,Technology
110,18-29,22**,80k-100k,Technology
111,30-49,20**,80k-100k,Finance
112,50-65,21**,120k-140k,Technology
113,30-49,20**,80k-100k,Finance
114,30-49,20**,80k-100k,Finance
115,18-29,21**,60k-80k,Finance
116,30-49,20**,100k-120k,Technology
117,50-65,21**,120k-140k,Management
118,30-49,20**,80k-100k,Technology
119,18-29,20**,40k-60k,Business
120,18-29,21**,60k-80k,Business
121,50-65,21**,100k-120k,Education
122,50-65,21**,120k-140k,Technology
123,30-49,20**,80k-100k,Finance
124,18-29,21**,80k-100k,Management
125,30-49,20**,80k-100k,Healthcare
126,50-65,22**,100k-120k,Education
127,50-65,21**,100k-120k,Finance
128,50-65,20**,100k-120k,Healthcare
129,50-65,21**,100k-120k,Finance
130,30-49,22**,80k-100k,Healthcare
131,50-65,21**,140k-160k,Technology
132,30-49,21**,80k-100k,Healthcare
133,30-49,20**,80k-100k,Finance
134,50-65,22**,80k-100k,Business
135,30-49,21**,80k-100k,Business
136,50-65,22**,80k-100k,Business
137,50-65,20**,120k-140k,Technology
138,50-65,20**,80k-100k,Business
139,30-49,20**,60k-80k,Finance
140,18-29,20**,60k-80k,Technology
141,30-49,20**,80k-100k,Business
142,30-49,20**,80k-100k,Business
143,30-49,20**,80k-100k,Healthcare
144,50-65,20**,100k-120k,Technology
145,30-49,22**,100k-120k,Technology
146,30-49,21**,80k-100k,Technology
147,18-29,20**,60k-80k,Business
148,50-65,21**,140k-160k,Management
149,30-49,21**,80k-100k,Business
150,30-49,21**,100k-120k,Management
151,50-65,21**,100k-120k,Business
152,30-49,21**,80k-100k,Finance
153,50-65,20**,100k-120k,Finance
154,18-29,20**,60k-80k,Finance
155,30-49,21**,60k-80k,Education
156,18-29,20**,80k-100k,Technology
157,50-65,22**,120k-140k,Technology
158,18-29,21**,60k-80k,Healthcare
159,50-65,21**,80k-100k,Business
160,30-49,21**,80k-100k,Healthcare
161,50-65,21**,100k-120k,Technology
162,30-49,21**,80k-100k,Technology
163,30-49,21**,100k-120k,Healthcare
164,50-65,21**,80k-100k,Finance
165,30-49,21**,60k-80k,Healthcare
166,30-49,22**,80k-100k,Education
167,50-65,21**,120k-140k,Technology
168,50-65,20**,120k-140k,Management
169,50-65,22**,80k-100k,Business
170,18-29,20**,80k-100k,Healthcare
171,18-29,20**,60k-80k,Technology
172,30-49,21**,80k-100k,Finance
173,30-49,20**,80k-100k,Healthcare
174,30-49,21**,80k-100k,Technology
175,50-65,20**,140k-160k,Management
176,30-49,22**,80k-100k,Technology
177,18-29,20**,60k-80k,Finance
178,50-65,20**,120k-140k,Technology
179,30-49,21**,100k-120k,Technology
180,30-49,21**,80k-100k,Finance
181,50-65,22**,80k-100k,Business
182,18-29,20**,80k-100k,Finance
183,18-29,21**,60k-80k,Finance
184,30-49,20**,80k-100k,Finance
185,50-65,20**,100k-120k,Finance
186,50-65,20**,100k-120k,Business
187,18-29,21**,60k-80k,Education
188,50-65,20**,100k-120k,Education
189,50-65,20**,100k-120k,Education
190,30-49,21**,100k-120k,Technology
191,50-65,22**,80k-100k,Business
192,30-49,22**,120k-140k,Technology
193,50-65,21**,120k-140k,Finance
194,30-49,21**,100k-120k,Business
195,30-49,20**,60k-80k,Education
196,30-49,20**,80k-100k,Business
197,50-65,22**,80k-100k,Business
198,30-49,21**,80k-100k,Technology
199,18-29,20**,60k-80k,Business
200,30-49,20**,80k-100k,Education
201,50-65,21**,100k-120k,Finance
202,50-65,20**,80k-100k,Finance
203,50-65,21**,120k-140k,Healthcare
204,30-49,22**,80k-100k,Business
205,30-49,20**,80k-100k,Technology
206,30-49,22**,80k-100k,Healthcare
207,30-49,21**,80k-100k,Business
208,50-65,21**,120k-140k,Management
209,50-65,20**,140k-160k,Management
210,50-65,20**,100k-120k,Business
211,30-49,20**,60k-80k,Finance
212,30-49,22**,100k-120k,Technology
213,50-65,20**,120k-140k,Technology
214,50-65,20**,100k-120k,Business
215,50-65,20**,80k-100k,Business
216,30-49,20**,80k-100k,Finance
217,18-29,20**,80k-100k,Finance
218,18-29,20**,60k-80k,Finance
219,50-65,22**,100k-120k,Finance
220,50-65,20**,80k-100k,Business
221,50-65,21**,100k-120k,Finance
222,30-49,20**,80k-100k,Education
223,30-49,20**,60k-80k,Business
224,30-49,20**,80k-100k,Business
225,50-65,20**,80k-100k,Technology
226,50-65,20**,100k-120k,Finance
227,18-29,21**,80k-100k,Management
228,50-65,20**,100k-120k,Business
229,30-49,21**,80k-100k,Business
230,50-65,20**,100k-120k,Healthcare
231,50-65,21**,80k-100k,Technology
232,30-49,20**,60k-80k,Finance
233,18-29,20**,60k-80k,Finance
234,18-29,20**,80k-100k,Technology
235,30-49,21**,80k-100k,Business
236,18-29,20**,60k-80k,Finance
237,50-65,20**,100k-120k,Business
238,30-49,22**,60k-80k,Business
239,30-49,21**,100k-120k,Technology
240,50-65,20**,120k-140k,Technology
241,18-29,20**,60k-80k,Technology
242,50-65,20**,100k-120k,Business
243,18-29,22**,60k-80k,Business
244,50-65,20**,120k-140k,Healthcare
245,50-65,21**,80k-100k,Business
246,50-65,21**,100k-120k,Technology
247,50-65,20**,100k-120k,Finance
248,30-49,21**,60k-80k,Business
249,50-65,21**,100k-120k,Finance
250,18-29,21**,60k-80k,Business
251,30-49,21**,100k-120k,Technology
252,50-65,20**,100k-120k,Business
253,30-49,20**,80k-100k,Healthcare
254,50-65,20**,120k-140k,Technology
255,30-49,20**,80k-100k,Business
256,50-65,21**,80k-100k,Technology
257,30-49,20**,80k-100k,Finance
258,30-49,20**,100k-120k,Management
259,30-49,20**,80k-100k,Healthcare
260,50-65,21**,100k-120k,Education
261,50-65,20**,80k-100k,Business
262,30-49,20**,100k-120k,Management
263,30-49,20**,80k-100k,Business
264,50-65,20**,80k-100k,Business
265,30-49,20**,100k-120k,Management
266,30-49,20**,100k-120k,Technology
267,30-49,22**,100k-120k,Technology
268,30-49,21**,100k-120k,Finance
269,30-49,21**,80k-100k,Business
270,30-49,20**,100k-120k,Management
271,30-49,21**,60k-80k,Business
272,18-29,21**,60k-80k,Finance
273,50-65,20**,100k-120k,Finance
274,50-65,21**,120k-140k,Finance
275,50-65,20**,100k-120k,Business
276,50-65,21**,80k-100k,Business
277,50-65,21**,120k-140k,Management
278,30-49,22**,60k-80k,Finance
279,50-65,20**,100k-120k,Healthcare
280,18-29,22**,60k-80k,Education
281,50-65,21**,100k-120k,Healthcare
282,30-49,20**,100k-120k,Technology
283,50-65,20**,100k-120k,Education
284,18-29,21**,80k-100k,Management
285,50-65,21**,120k-140k,Technology
286,18-29,20**,60k-80k,Business
287,50-65,22**,100k-120k,Healthcare
288,30-49,21**,100k-120k,Management
289,50-65,21**,80k-100k,Business
290,50-65,20**,120k-140k,Technology
291,30-49,21**,80k-100k,Technology
292,50-65,21**,120k-140k,Technology
293,50-65,20**,100k-120k,Finance
294,30-49,20**,80k-100k,Technology
295,30-49,20**,80k-100k,Healthcare
296,50-65,21**,100k-120k,Healthcare
297,18-29,20**,100k-120k,Technology
298,30-49,22**,80k-100k,Business
299,30-49,20**,80k-100k,Business
300,30-49,21**,80k-100k,Finance
301,50-65,21**,100k-120k,Technology
302,50-65,20**,120k-140k,Management
303,30-49,21**,80k-100k,Education
304,50-65,22**,100k-120k,Healthcare
305,30-49,20**,100k-120k,Finance
306,30-49,20**,100k-120k,Technology
307,50-65,21**,100k-120k,Education
308,50-65,20**,100k-120k,Finance
309,30-49,21**,60k-80k,Technology
310,50-65,20**,80k-100k,Business
311,50-65,20**,100k-120k,Education
312,50-65,22**,100k-120k,Finance
313,50-65,22**,120k-140k,Technology
314,30-49,20**,80k-100k,Business
315,30-49,20**,100k-120k,Technology
316,30-49,20**,80k-100k,Healthcare
317,18-29,21**,80k-100k,Management
318,50-65,20**,100k-120k,Finance
319,30-49,22**,100k-120k,Finance
320,18-29,20**,60k-80k,Business
321,30-49,21**,80k-100k,Healthcare
322,18-29,20**,60k-80k,Healthcare
323,50-65,21**,120k-140k,Technology
324,50-65,21**,100k-120k,Finance
325,50-65,20**,100k-120k,Education
326,30-49,21**,100k-120k,Technology
327,30-49,20**,60k-80k,Business
328,50-65,22**,100k-120k,Business
329,50-65,20**,100k-120k,Healthcare
330,18-29,20**,60k-80k,Technology
331,18-29,20**,80k-100k,Technology
332,18-29,21**,80k-100k,Healthcare
333,50-65,21**,140k-160k,Management
334,50-65,21**,120k-140k,Technology
335,30-49,21**,80k-100k,Business
336,18-29,20**,60k-80k,Education
337,30-49,21**,80k-100k,Finance
338,50-65,21**,100k-120k,Education
339,18-29,20**,60k-80k,Healthcare
340,18-29,20**,60k-80k,Business
341,50-65,20**,80k-100k,Business
342,30-49,20**,80k-100k,Finance
343,30-49,21**,80k-100k,Technology
344,50-65,20**,100k-120k,Finance
345,18-29,20**,60k-80k,Business
346,18-29,21**,80k-100k,Technology
347,18-29,22**,80k-100k,Technology
348,18-29,21**,60k-80k,Technology
349,50-65,20**,100k-120k,Education
350,30-49,20**,80k-100k,Technology
351,50-65,22**,100k-120k,Technology
352,30-49,21**,80k-100k,Business
353,50-65,21**,120k-140k,Technology
354,30-49,20**,60k-80k,Business
355,30-49,22**,60k-80k,Business
356,18-29,21**,60k-80k,Business
357,50-65,21**,120k-140k,Technology
358,18-29,20**,80k-100k,Technology
359,18-29,20**,80k-100k,Technology
360,50-65,21**,100k-120k,Business
361,30-49,21**,80k-100k,Business
362,30-49,21**,120k-140k,Management
363,18-29,22**,80k-100k,Technology
364,50-65,21**,100k-120k,Finance
365,30-49,20**,80k-100k,Healthcare
366,30-49,22**,80k-100k,Healthcare
367,30-49,20**,80k-100k,Healthcare
368,30-49,22**,100k-120k,Technology
369,18-29,20**,60k-80k,Technology
370,30-49,22**,100k-120k,Technology
371,18-29,20**,80k-100k,Management
372,50-65,20**,100k-120k,Management
373,30-49,22**,80k-100k,Education
374,50-65,20**,100k-120k,Technology
375,30-49,20**,80k-100k,Education
376,50-65,20**,80k-100k,Finance
377,30-49,21**,100k-120k,Technology
378,30-49,20**,100k-120k,Technology
379,30-49,21**,80k-100k,Healthcare
380,18-29,22**,40k-60k,Business
381,18-29,20**,80k-100k,Technology
382,30-49,20**,80k-100k,Education
383,18-29,22**,60k-80k,Business
384,18-29,22**,80k-100k,Technology
385,18-29,20**,80k-100k,Management
386,30-49,20**,80k-100k,Business
387,30-49,22**,80k-100k,Finance
388,50-65,20**,80k-100k,Business
389,18-29,21**,80k-100k,Technology
390,50-65,20**,120k-140k,Technology
391,50-65,21**,120k-140k,Healthcare
392,30-49,20**,80k-100k,Healthcare
393,50-65,21**,120k-140k,Technology
394,18-29,22**,80k-100k,Finance
395,30-49,22**,100k-120k,Management
396,18-29,21**,60k-80k,Finance
397,18-29,20**,60k-80k,Technology
398,30-49,20**,80k-100k,Technology
399,30-49,20**,100k-120k,Technology
400,50-65,20**,100k-120k,Healthcare
401,30-49,22**,100k-120k,Management
402,50-65,22**,120k-140k,Management
403,18-29,22**,60k-80k,Healthcare
404,30-49,21**,80k-100k,Technology
405,30-49,21**,80k-100k,Business
406,30-49,20**,80k-100k,Healthcare
407,30-49,20**,80k-100k,Technology
408,50-65,22**,100k-120k,Business
409,18-29,20**,60k-80k,Healthcare
410,30-49,21**,80k-100k,Business
411,18-29,20**,60k-80k,Healthcare
412,30-49,20**,60k-80k,Education
413,50-65,21**,120k-140k,Technology
414,30-49,21**,60k-80k,Education
415,30-49,20**,80k-100k,Technology
416,30-49,21**,80k-100k,Technology
417,50-65,20**,120k-140k,Technology
418,30-49,21**,80k-100k,Business
419,50-65,22**,100k-120k,Business
420,50-65,20**,100k-120k,Education
421,18-29,21**,60k-80k,Business
422,30-49,20**,60k-80k,Business
423,50-65,20**,120k-140k,Technology
424,30-49,20**,80k-100k,Technology
425,30-49,22**,80k-100k,Technology
426,50-65,21**,100k-120k,Business
427,30-49,21**,80k-100k,Business
428,30-49,22**,80k-100k,Business
429,30-49,21**,80k-100k,Business
430,18-29,21**,60k-80k,Technology
431,30-49,21**,80k-100k,Technology
432,18-29,22**,60k-80k,Finance
433,30-49,21**,120k-140k,Management
434,18-29,21**,60k-80k,Education
435,30-49,20**,100k-120k,Healthcare
436,18-29,20**,60k-80k,Education
437,18-29,22**,80k-100k,Management
438,30-49,22**,80k-100k,Finance
439,18-29,20**,80k-100k,Education
440,50-65,21**,120k-140k,Technology
441,50-65,20**,120k-140k,Healthcare
442,50-65,20**,140k-160k,Technology
443,30-49,20**,80k-100k,Education
444,18-29,21**,60k-80k,Healthcare
445,18-29,20**,60k-80k,Education
446,30-49,21**,60k-80k,Education
447,30-49,20**,80k-100k,Technology
448,30-49,21**,100k-120k,Technology
449,50-65,20**,140k-160k,Management
450,50-65,21**,120k-140k,Technology
451,18-29,20**,80k-100k,Technology
452,50-65,20**,100k-120k,Business
453,30-49,21**,80k-100k,Finance
454,50-65,20**,100k-120k,Business
455,30-49,21**,60k-80k,Finance
456,30-49,21**,80k-100k,Business
457,30-49,21**,80k-100k,Healthcare
458,30-49,20**,120k-140k,Technology
459,18-29,20**,80k-100k,Finance
460,30-49,20**,100k-120k,Management
461,18-29,20**,60k-80k,Finance
462,30-49,21**,60k-80k,Business
463,30-49,20**,100k-120k,Technology
464,30-49,21**,60k-80k,Technology
465,30-49,21**,100k-120k,Management
466,30-49,21**,100k-120k,Technology
467,18-29,20**,60k-80k,Education
468,18-29,20**,80k-100k,Technology
469,30-49,22**,120k-140k,Technology
470,30-49,20**,80k-100k,Business
471,18-29,20**,60k-80k,Finance
472,50-65,21**,80k-100k,Business
473,18-29,20**,60k-80k,Finance
474,18-29,20**,60k-80k,Technology
475,50-65,21**,80k-100k,Business
476,18-29,21**,60k-80k,Business
477,18-29,21**,80k-100k,Management
478,50-65,20**,140k-160k,Technology
479,18-29,21**,40k-60k,Business
480,50-65,20**,100k-120k,Healthcare
481,50-65,20**,100k-120k,Education
482,50-65,21**,120k-140k,Management
483,18-29,21**,60k-80k,Healthcare
484,50-65,21**,100k-120k,Healthcare
485,50-65,21**,100k-120k,Technology
486,30-49,22**,60k-80k,Finance
487,50-65,20**,80k-100k,Education
488,30-49,20**,100k-120k,Management
489,50-65,22**,100k-120k,Business
490,50-65,20**,120k-140k,Technology
491,50-65,20**,100k-120k,Business
492,30-49,20**,60k-80k,Technology
493,30-49,21**,80k-100k,Finance
494,50-65,20**,80k-100k,Business
495,50-65,20**,100k-120k,Finance
496,18-29,20**,60k-80k,Education
497,30-49,21**,80k-100k,Healthcare
498,30-49,20**,80k-100k,Education
499,50-65,21**,100k-120k,Business
500,30-49,22**,100k-120k,Technology
501,18-29,21**,60k-80k,Healthcare
502,50-65,20**,80k-100k,Finance
503,18-29,22**,60k-80k,Education
504,30-49,21**,80k-100k,Business
505,18-29,21**,60k-80k,Business
506,18-29,21**,60k-80k,Education
507,30-49,20**,80k-100k,Technology
508,30-49,22**,100k-120k,Management
509,18-29,21**,80k-100k,Technology
510,18-29,20**,80k-100k,Technology
511,50-65,21**,100k-120k,Education
512,50-65,21**,80k-100k,Technology
513,50-65,21**,100k-120k,Business
514,30-49,21**,100k-120k,Technology
515,50-65,21**,100k-120k,Education
516,50-65,20**,100k-120k,Finance
517,18-29,21**,80k-100k,Technology
518,30-49,20**,100k-120k,Management
519,30-49,20**,60k-80k,Business
520,50-65,20**,100k-120k,Business
521,18-29,21**,80k-100k,Technology
522,50-65,20**,100k-120k,Business
523,50-65,22**,100k-120k,Education
524,50-65,20**,120k-140k,Management
525,18-29,21**,100k-120k,Technology
526,30-49,20**,80k-100k,Technology
527,30-49,20**,60k-80k,Business
528,50-65,21**,100k-120k,Business
529,50-65,21**,120k-140k,Technology
530,18-29,21**,60k-80k,Finance
531,50-65,21**,100k-120k,Healthcare
532,18-29,20**,80k-100k,Technology
533,30-49,22**,80k-100k,Business
534,30-49,21**,100k-120k,Technology
535,18-29,21**,100k-120k,Technology
536,18-29,21**,60k-80k,Technology
537,30-49,20**,100k-120k,Technology
538,50-65,21**,100k-120k,Finance
539,30-49,20**,80k-100k,Technology
540,50-65,20**,120k-140k,Management
541,50-65,21**,100k-120k,Finance
542,18-29,22**,80k-100k,Management
543,50-65,20**,80k-100k,Business
544,50-65,22**,100k-120k,Business
545,30-49,20**,60k-80k,Business
546,18-29,22**,60k-80k,Technology
547,30-49,21**,80k-100k,Finance
548,50-65,21**,100k-120k,Technology
549,30-49,21**,80k-100k,Finance
550,50-65,20**,120k-140k,Healthcare
551,18-29,20**,60k-80k,Technology
552,30-49,21**,80k-100k,Business
553,30-49,20**,60k-80k,Business
554,50-65,22**,100k-120k,Education
555,30-49,21**,120k-140k,Technology
556,50-65,20**,120k-140k,Technology
557,30-49,20**,100k-120k,Technology
558,30-49,20**,80k-100k,Technology
559,30-49,21**,80k-100k,Healthcare
560,30-49,20**,100k-120k,Technology
561,50-65,20**,100k-120k,Education
562,30-49,21**,120k-140k,Management
563,30-49,20**,60k-80k,Business
564,30-49,21**,100k-120k,Management
565,30-49,21**,60k-80k,Business
566,18-29,21**,60k-80k,Finance
567,50-65,20**,100k-120k,Business
