record_id,age_group,postcode_group,income_range,occupation_group
1,50-59,20**,120k-130k,Technology
2,30-39,20**,60k-70k,Finance
3,60-65,20**,140k-150k,Management
4,40-49,20**,80k-90k,Technology
5,30-39,21**,80k-90k,Finance
6,18-19,20**,80k-90k,Management
7,40-49,21**,90k-100k,Finance
8,30-39,20**,80k-90k,Technology
9,30-39,20**,80k-90k,Finance
10,30-39,20**,100k-110k,Technology
11,20-29,21**,80k-90k,Education
12,30-39,22**,80k-90k,Technology
13,50-59,21**,110k-120k,Technology
14,50-59,22**,100k-110k,Finance
15,50-59,22**,90k-100k,Finance
16,20-29,20**,60k-70k,Finance
17,30-39,21**,90k-100k,Technology
18,40-49,20**,90k-100k,Education
19,40-49,22**,80k-90k,Finance
20,60-65,21**,130k-140k,Technology
21,50-59,20**,100k-110k,Finance
22,40-49,22**,100k-110k,Finance
23,30-39,20**,70k-80k,Education
24,20-29,21**,60k-70k,Education
25,20-29,21**,60k-70k,Finance
26,30-39,21**,70k-80k,Business
27,20-29,20**,70k-80k,Finance
28,60-65,21**,130k-140k,Management
29,60-65,21**,110k-120k,Business
30,40-49,20**,80k-90k,Education
31,50-59,20**,80k-90k,Business
32,20-29,22**,80k-90k,Technology
33,60-65,21**,100k-110k,Medical
34,40-49,21**,100k-110k,Medical
35,50-59,21**,90k-100k,Finance
36,60-65,22**,140k-150k,Technology
37,30-39,20**,80k-90k,Education
38,40-49,21**,100k-110k,Technology
39,60-65,21**,110k-120k,Finance
40,50-59,22**,110k-120k,Technology
41,50-59,21**,120k-130k,Management
42,20-29,20**,80k-90k,Education
43,50-59,21**,90k-100k,Technology
44,40-49,20**,90k-100k,Technology
45,30-39,20**,70k-80k,Finance
46,50-59,20**,130k-140k,Technology
47,20-29,20**,80k-90k,Management
48,60-65,21**,100k-110k,Business
49,30-39,21**,100k-110k,Management
50,30-39,22**,90k-100k,Management
51,60-65,21**,110k-120k,Finance
52,40-49,21**,100k-110k,Management
53,30-39,20**,70k-80k,Finance
54,18-19,21**,50k-60k,Business
55,50-59,20**,90k-100k,Finance
56,60-65,20**,100k-110k,Technology
57,20-29,20**,70k-80k,Education
58,30-39,22**,80k-90k,Finance
59,30-39,20**,100k-110k,Management
60,50-59,20**,100k-110k,Business
61,40-49,20**,80k-90k,Finance
62,60-65,21**,110k-120k,Medical
63,40-49,22**,70k-80k,Business
64,60-65,20**,130k-140k,Technology
65,60-65,20**,110k-120k,Education
66,30-39,21**,70k-80k,Finance
67,20-29,20**,70k-80k,Medical
68,40-49,20**,90k-100k,Finance
69,50-59,20**,130k-140k,Technology
70,18-19,20**,70k-80k,Technology
