record_id,age,postcode,income,occupation
1,58,2000,129331,Software Engineer
2,33,2020,69315,Accountant
3,61,2010,140000,Project Manager
4,45,2000,83921,Data Analyst
5,31,2155,83556,Accountant
6,19,2042,89133,Project Manager
7,44,2145,96969,Accountant
8,35,2031,85125,Data Analyst
9,39,2020,86629,Financial Analyst
10,39,2010,106492,Software Engineer
11,24,2112,81165,Teacher
12,34,2230,85373,Data Analyst
13,52,2122,114603,Software Engineer
14,53,2200,107807,Financial Analyst
15,54,2220,90577,Accountant
16,20,2077,60000,Accountant
17,32,2122,93470,Software Engineer
18,47,2031,97981,Teacher
19,40,2217,82152,Accountant
20,62,2190,131458,Software Engineer
21,52,2031,101317,Accountant
22,42,2200,101335,Financial Analyst
23,32,2007,77399,Teacher
24,20,2122,65901,Teacher
25,22,2170,64566,Accountant
26,31,2122,78865,Marketing Specialist
27,27,2020,73613,Financial Analyst
28,65,2160,138609,Project Manager
29,65,2134,110000,Sales Representative
30,43,2050,86128,Teacher
31,50,2010,85586,Marketing Specialist
32,25,2200,84923,Cyber Security Analyst
33,61,2190,107826,Nurse
34,42,2190,100869,Nurse
35,51,2160,93993,Financial Analyst
36,61,2217,140000,Software Engineer
37,35,2015,82702,Teacher
38,45,2145,107446,Cyber Security Analyst
39,64,2155,114684,Financial Analyst
40,50,2200,119034,Software Engineer
41,58,2190,127581,Project Manager
42,27,2031,82248,Teacher
43,51,2190,97217,Data Analyst
44,49,2015,96575,Data Analyst
45,37,2007,78105,Accountant
46,54,2010,130711,Software Engineer
47,22,2020,80000,Project Manager
48,60,2160,100091,Marketing Specialist
49,34,2190,104291,Project Manager
50,31,2230,93187,Project Manager
51,63,2122,119896,Financial Analyst
52,46,2145,109710,Project Manager
53,33,2010,77035,Accountant
54,19,2160,55000,Sales Representative
55,55,2000,91688,Accountant
56,63,2050,100293,Data Analyst
57,20,2010,73975,Teacher
58,33,2217,88459,Financial Analyst
59,31,2020,105307,Project Manager
60,54,2050,103796,Marketing Specialist
61,44,2015,80836,Accountant
62,60,2112,118560,Nurse
63,44,2230,79435,Marketing Specialist
64,61,2007,137661,Software Engineer
65,64,2015,112083,Teacher
66,30,2160,77466,Accountant
67,26,2031,77638,Nurse
68,47,2010,95371,Accountant
69,53,2007,131117,Software Engineer
70,18,2050,75000,Software Engineer
71,44,2150,84664,Marketing Specialist
72,43,2031,91354,Data Analyst
73,18,2060,74909,Nurse
74,36,2220,97360,Nurse
75,60,2020,100903,Marketing Specialist
76,36,2007,88127,Accountant
77,65,2007,140000,Project Manager
78,21,2170,73495,Data Analyst
79,50,2031,112714,Project Manager
80,50,2031,111500,Software Engineer
81,56,2217,125260,Software Engineer
82,43,2170,107641,Software Engineer
83,55,2007,90984,Sales Representative
84,44,2170,92556,Sales Representative
85,38,2042,88699,Financial Analyst
86,33,2122,76841,Financial Analyst
87,60,2145,114509,Financial Analyst
88,22,2145,77278,Data Analyst
89,24,2160,80282,Software Engineer
90,50,2020,103883,Financial Analyst
91,22,2112,63593,Accountant
92,28,2160,70550,Marketing Specialist
93,57,2000,137960,Project Manager
94,37,2020,99943,Software Engineer
95,25,2230,92809,Software Engineer
96,27,2077,85351,Financial Analyst
97,31,2042,77480,Teacher
98,50,2060,85707,Marketing Specialist
99,23,2060,70000,Nurse
100,18,2020,65000,Teacher
101,28,2160,74652,Marketing Specialist
102,53,2015,90976,Data Analyst
103,62,2160,132031,Cyber Security Analyst
104,41,2160,76767,Sales Representative
105,45,2007,117441,Cyber Security Analyst
106,41,2112,83904,Data Analyst
107,61,2217,99113,Accountant
108,40,2134,103149,Project Manager
109,33,2031,104255,Cyber Security Analyst
110,19,2230,82268,Cyber Security Analyst
111,44,2060,82876,Accountant
112,62,2122,127119,Software Engineer
113,48,2042,96998,Accountant
114,40,2050,88049,Financial Analyst
115,19,2122,61820,Accountant
116,35,2060,100017,Software Engineer
117,59,2122,139910,Project Manager
118,39,2015,83665,Data Analyst
119,29,2060,59125,Sales Representative
120,24,2134,63348,Sales Representative
121,64,2134,115000,Teacher
122,50,2122,128148,Software Engineer
123,30,2007,83331,Financial Analyst
124,18,2160,80000,Project Manager
125,41,2010,95287,Nurse
126,57,2217,100572,Teacher
127,64,2155,118964,Financial Analyst
128,60,2095,117866,Nurse
129,62,2160,110659,Financial Analyst
130,30,2217,85189,Nurse
131,61,2190,145000,Cyber Security Analyst
132,37,2160,80226,Nurse
133,37,2042,91320,Financial Analyst
134,55,2200,98857,Sales Representative
135,47,2145,87853,Marketing Specialist
136,50,2230,89603,Marketing Specialist
137,60,2077,139975,Software Engineer
138,60,2095,97209,Sales Representative
139,33,2050,79078,Financial Analyst
140,27,2007,71640,Data Analyst
141,48,2010,95029,Sales Representative
142,44,2042,88008,Sales Representative
143,49,2050,97814,Nurse
144,59,2015,108186,Data Analyst
145,32,2220,106334,Cyber Security Analyst
146,47,2160,90931,Data Analyst
147,25,2020,72672,Marketing Specialist
148,60,2160,140000,Project Manager
149,38,2190,87817,Marketing Specialist
150,45,2145,109683,Project Manager
151,65,2145,108493,Marketing Specialist
152,33,2155,88432,Financial Analyst
153,58,2060,106966,Accountant
154,22,2050,68584,Financial Analyst
155,39,2160,79980,Teacher
156,26,2050,93615,Cyber Security Analyst
157,62,2220,137861,Cyber Security Analyst
158,22,2134,75097,Nurse
159,52,2134,88210,Marketing Specialist
160,31,2122,92969,Nurse
161,62,2170,109592,Data Analyst
162,48,2112,93507,Data Analyst
163,42,2160,103427,Nurse
164,56,2150,97616,Accountant
165,35,2150,79036,Nurse
166,42,2217,93780,Teacher
167,64,2145,137799,Cyber Security Analyst
168,57,2000,132698,Project Manager
169,55,2217,89186,Sales Representative
170,23,2020,80447,Nurse
171,29,2060,77954,Data Analyst
172,38,2145,81987,Accountant
173,39,2060,96153,Nurse
174,34,2150,87763,Software Engineer
175,65,2007,140000,Project Manager
176,32,2200,85681,Software Engineer
177,19,2042,60000,Accountant
178,57,2050,128072,Cyber Security Analyst
179,48,2170,113631,Software Engineer
180,47,2112,94434,Financial Analyst
181,56,2230,93221,Sales Representative
182,28,2015,85664,Financial Analyst
183,19,2170,68468,Financial Analyst
184,43,2010,95997,Accountant
185,62,2015,106691,Accountant
186,61,2015,110000,Sales Representative
187,20,2160,71165,Teacher
188,60,2010,115000,Teacher
189,59,2000,112381,Teacher
190,49,2134,119740,Software Engineer
191,58,2220,97566,Marketing Specialist
192,45,2230,124436,Cyber Security Analyst
193,59,2190,120000,Financial Analyst
194,48,2134,101329,Marketing Specialist
195,35,2050,75924,Teacher
196,35,2050,83312,Marketing Specialist
197,54,2217,99546,Sales Representative
198,39,2150,85756,Data Analyst
199,29,2042,73328,Marketing Specialist
200,34,2060,91555,Teacher
201,62,2160,106821,Financial Analyst
202,51,2010,93014,Accountant
203,64,2150,120000,Nurse
204,33,2200,82040,Marketing Specialist
205,46,2010,91450,Data Analyst
206,32,2220,82866,Nurse
207,37,2112,82741,Sales Representative
208,53,2112,128623,Project Manager
209,65,2095,140000,Project Manager
210,62,2060,106856,Marketing Specialist
211,34,2015,73331,Accountant
212,38,2230,110219,Software Engineer
213,62,2042,137941,Cyber Security Analyst
214,65,2060,110000,Marketing Specialist
215,51,2077,86911,Sales Representative
216,30,2050,80868,Financial Analyst
217,29,2000,85374,Financial Analyst
218,26,2007,66148,Financial Analyst
219,53,2220,100094,Financial Analyst
220,58,2015,92954,Marketing Specialist
221,54,2150,112814,Financial Analyst
222,46,2031,86470,Teacher
223,34,2015,69162,Marketing Specialist
224,43,2010,95503,Marketing Specialist
225,58,2020,98186,Data Analyst
226,54,2010,105260,Financial Analyst
227,25,2134,98803,Project Manager
228,56,2050,106591,Sales Representative
229,42,2145,85275,Marketing Specialist
230,55,2077,117994,Nurse
231,57,2190,95591,Data Analyst
232,31,2060,66490,Accountant
233,28,2031,78725,Accountant
234,22,2000,88918,Cyber Security Analyst
235,46,2150,87309,Sales Representative
236,20,2077,61392,Accountant
237,62,2010,104457,Marketing Specialist
238,34,2217,70205,Sales Representative
239,45,2160,109706,Software Engineer
240,59,2060,131362,Cyber Security Analyst
241,22,2031,68909,Data Analyst
242,56,2077,103858,Sales Representative
243,25,2220,67411,Marketing Specialist
244,62,2060,120000,Nurse
245,52,2145,88805,Marketing Specialist
246,56,2134,101944,Data Analyst
247,56,2000,102460,Financial Analyst
248,32,2170,62062,Sales Representative
249,61,2170,106637,Financial Analyst
250,29,2155,76192,Marketing Specialist
251,35,2170,107794,Cyber Security Analyst
252,58,2010,107954,Marketing Specialist
253,40,2095,93924,Nurse
254,60,2031,133892,Software Engineer
255,44,2077,90782,Marketing Specialist
256,53,2145,91396,Data Analyst
257,38,2095,82202,Financial Analyst
258,43,2000,119694,Project Manager
259,47,2007,96997,Nurse
260,51,2190,106440,Teacher
261,58,2007,99223,Marketing Specialist
262,35,2020,101140,Project Manager
263,46,2015,80732,Marketing Specialist
264,58,2050,96998,Sales Representative
265,37,2000,112351,Project Manager
266,44,2050,104674,Software Engineer
267,47,2200,110151,Software Engineer
268,49,2155,100236,Financial Analyst
269,44,2150,85646,Marketing Specialist
270,47,2020,119590,Project Manager
271,30,2155,63516,Sales Representative
272,22,2134,70818,Financial Analyst
273,50,2000,101715,Financial Analyst
274,64,2170,120000,Financial Analyst
275,60,2020,109313,Marketing Specialist
276,52,2112,97063,Marketing Specialist
277,53,2122,129601,Project Manager
278,38,2220,79102,Accountant
279,54,2050,111758,Nurse
280,20,2230,72626,Teacher
281,63,2122,112856,Nurse
282,49,2020,101140,Data Analyst
283,55,2015,108789,Teacher
284,24,2145,80000,Project Manager
285,64,2134,138675,Cyber Security Analyst
286,22,2060,65348,Marketing Specialist
287,57,2200,104120,Nurse
288,39,2122,107185,Project Manager
289,58,2160,93729,Marketing Specialist
290,57,2050,128352,Software Engineer
291,32,2134,87587,Software Engineer
292,58,2145,125770,Software Engineer
293,62,2000,107996,Financial Analyst
294,38,2077,85895,Data Analyst
295,41,2020,92469,Nurse
296,51,2170,101006,Nurse
297,28,2010,103801,Cyber Security Analyst
298,42,2217,80976,Sales Representative
299,49,2020,88885,Sales Representative
300,47,2145,97302,Financial Analyst
301,60,2145,104638,Data Analyst
302,61,2031,127314,Project Manager
303,46,2170,94589,Teacher
304,58,2220,110748,Nurse
305,47,2042,101541,Financial Analyst
306,48,2050,118985,Software Engineer
307,54,2170,102993,Teacher
308,62,2000,119458,Financial Analyst
309,35,2170,72884,Data Analyst
310,56,2077,97966,Marketing Specialist
311,56,2050,101656,Teacher
312,57,2217,105119,Financial Analyst
313,58,2200,121610,Software Engineer
314,37,2007,89204,Marketing Specialist
315,41,2010,111479,Cyber Security Analyst
316,38,2031,87856,Nurse
317,26,2112,97607,Project Manager
318,50,2031,100867,Financial Analyst
319,48,2230,101205,Financial Analyst
320,25,2010,62059,Marketing Specialist
321,32,2160,86879,Nurse
322,23,2000,73984,Nurse
323,52,2145,124098,Software Engineer
324,61,2170,117804,Financial Analyst
325,58,2015,105214,Teacher
326,48,2190,102119,Data Analyst
327,38,2050,70475,Sales Representative
328,58,2220,102455,Marketing Specialist
329,59,2015,108197,Nurse
330,20,2077,73057,Data Analyst
331,25,2050,92295,Software Engineer
332,26,2145,80668,Nurse
333,60,2134,140000,Project Manager
334,65,2134,138244,Cyber Security Analyst
335,49,2134,90443,Sales Representative
336,20,2042,71656,Teacher
337,46,2112,83042,Accountant
338,61,2160,112498,Teacher
339,21,2060,70000,Nurse
340,25,2010,64397,Marketing Specialist
341,59,2000,94636,Sales Representative
342,39,2020,90840,Accountant
343,31,2160,89767,Software Engineer
344,55,2050,100128,Accountant
345,27,2000,64617,Sales Representative
346,27,2160,90660,Cyber Security Analyst
347,29,2217,81057,Software Engineer
348,26,2112,70456,Data Analyst
349,55,2000,100071,Teacher
350,34,2020,84113,Data Analyst
351,51,2230,112720,Software Engineer
352,48,2112,98732,Marketing Specialist
353,55,2145,132679,Software Engineer
354,32,2007,78469,Sales Representative
355,37,2200,71233,Marketing Specialist
356,21,2122,67159,Marketing Specialist
357,61,2150,139002,Software Engineer
358,22,2095,90464,Software Engineer
359,27,2020,86458,Software Engineer
360,57,2160,101293,Sales Representative
361,42,2155,82748,Sales Representative
362,47,2190,121117,Project Manager
363,24,2200,91364,Software Engineer
364,64,2134,110000,Accountant
365,32,2095,89754,Nurse
366,43,2230,89711,Nurse
367,38,2095,89629,Nurse
368,41,2217,117349,Cyber Security Analyst
369,22,2010,75000,Software Engineer
370,45,2230,114550,Software Engineer
371,26,2007,99430,Project Manager
372,53,2095,118686,Project Manager
373,44,2217,96518,Teacher
374,64,2077,110000,Data Analyst
375,37,2015,94150,Teacher
376,50,2020,99843,Accountant
377,32,2112,102589,Software Engineer
378,41,2060,115621,Software Engineer
379,32,2160,93137,Nurse
380,19,2217,55000,Sales Representative
381,19,2060,81507,Cyber Security Analyst
382,39,2000,83284,Teacher
383,27,2217,68664,Sales Representative
384,22,2230,80000,Cyber Security Analyst
385,23,2042,88710,Project Manager
386,44,2095,82817,Marketing Specialist
387,41,2230,92544,Financial Analyst
388,54,2010,88851,Sales Representative
389,27,2190,84077,Cyber Security Analyst
390,61,2060,138987,Software Engineer
391,60,2150,120000,Nurse
392,46,2060,96850,Nurse
393,50,2112,123342,Software Engineer
394,25,2217,82626,Financial Analyst
395,49,2217,119680,Project Manager
396,20,2122,71766,Accountant
397,21,2042,67748,Data Analyst
398,31,2060,97463,Cyber Security Analyst
399,38,2000,108958,Software Engineer
400,65,2031,114233,Nurse
401,42,2220,108178,Project Manager
402,50,2217,122456,Project Manager
403,22,2230,70000,Nurse
404,45,2145,83402,Data Analyst
405,38,2134,87193,Sales Representative
406,43,2077,90370,Nurse
407,43,2095,84567,Data Analyst
408,57,2220,103346,Marketing Specialist
409,23,2015,73291,Nurse
410,45,2122,93765,Sales Representative
411,23,2077,76444,Nurse
412,32,2031,72396,Teacher
413,50,2155,125965,Software Engineer
414,30,2112,72605,Teacher
415,33,2020,94132,Software Engineer
416,30,2190,91605,Cyber Security Analyst
417,59,2031,137893,Software Engineer
418,47,2170,93645,Sales Representative
419,61,2200,105909,Sales Representative
420,58,2020,111963,Teacher
421,22,2145,64177,Marketing Specialist
422,35,2007,76426,Sales Representative
423,50,2077,124385,Software Engineer
424,46,2007,93891,Data Analyst
425,36,2200,92852,Software Engineer
426,57,2155,103236,Sales Representative
427,47,2160,80280,Sales Representative
428,46,2200,83934,Sales Representative
429,38,2150,84832,Sales Representative
430,27,2145,67008,Data Analyst
431,39,2155,99697,Software Engineer
432,20,2220,66472,Accountant
433,46,2155,125727,Project Manager
434,28,2112,74907,Teacher
435,42,2095,105123,Nurse
436,21,2010,68994,Teacher
437,24,2217,90326,Project Manager
438,36,2230,95813,Financial Analyst
439,27,2010,83669,Teacher
440,60,2112,138250,Cyber Security Analyst
441,59,2020,120000,Nurse
442,63,2077,140000,Software Engineer
443,42,2020,97780,Teacher
444,23,2155,77175,Nurse
445,19,2077,65000,Teacher
446,31,2150,75121,Teacher
447,32,2020,91890,Cyber Security Analyst
448,36,2155,107581,Software Engineer
449,65,2007,140000,Project Manager
450,57,2190,136280,Cyber Security Analyst
451,27,2031,87871,Cyber Security Analyst
452,64,2007,110000,Marketing Specialist
453,41,2145,83804,Accountant
454,65,2050,110000,Marketing Specialist
455,33,2150,78910,Financial Analyst
456,41,2145,87043,Sales Representative
457,36,2155,96432,Nurse
458,44,2042,125770,Cyber Security Analyst
459,26,2007,80109,Financial Analyst
460,41,2015,116267,Project Manager
461,25,2010,68444,Financial Analyst
462,35,2155,72913,Marketing Specialist
463,45,2050,117122,Software Engineer
464,40,2134,77809,Data Analyst
465,43,2112,109640,Project Manager
466,42,2112,105548,Software Engineer
467,19,2015,67050,Teacher
468,27,2007,91847,Cyber Security Analyst
469,48,2220,126860,Cyber Security Analyst
470,46,2000,80362,Sales Representative
471,19,2042,65000,Financial Analyst
472,53,2155,99826,Sales Representative
473,25,2050,73059,Financial Analyst
474,25,2050,75458,Data Analyst
475,58,2145,93867,Sales Representative
476,25,2190,75012,Marketing Specialist
477,19,2170,80000,Project Manager
478,63,2077,145000,Cyber Security Analyst
479,18,2112,55000,Sales Representative
480,54,2031,101103,Nurse
481,51,2010,107343,Teacher
482,52,2155,131562,Project Manager
483,19,2150,70000,Nurse
484,58,2112,110864,Nurse
485,65,2112,102213,Data Analyst
486,40,2230,76800,Accountant
487,55,2020,95814,Teacher
488,40,2095,103822,Project Manager
489,61,2220,110000,Marketing Specialist
490,58,2020,127386,Cyber Security Analyst
491,63,2007,107487,Marketing Specialist
492,30,2042,67862,Data Analyst
493,38,2155,91453,Financial Analyst
494,52,2060,87369,Marketing Specialist
495,59,2077,105314,Accountant
496,21,2060,65000,Teacher
497,41,2122,98877,Nurse
498,42,2031,96791,Teacher
